5860E               = Coolpad Quattro 4G
ADR6300             = HTC Droid Incredible
ADR6330VW           = HTC Rhyme
ADR6350             = HTC Droid Incredible 2
ADR6400L            = HTC Thunderbolt
ADR6410LVW          = HTC Droid Incredible 4G
ADR6425LVW          = HTC Rezound 4G
ASUS_Transformer_Pad_TF300T= Asus Transformer Pad
ASUS_Transformer_Pad_TF700T= 
C5155               = Kyocera Rise
C5170               = Kyocera Hydro
C6603               = Sony Xperia Z
C6606               = Sony Xperia Z
C6903               = Sony Xperia Z1
Desire_HD           = HTC Desire HD
DROID2_GLOBAL       = Motorola Droid 2 Global
DROID2              = Motorola Droid 2
DROID3              = Motorola Droid 3
DROID4              = Motorola Droid 4
DROID_BIONIC        = Motorola Droid Bionic
Droid               = Motorola Droid
DROID_Pro           = Motorola Droid Pro
DROID_RAZR_HD       = Motorola Droid Razr HD
DROID_RAZR          = Motorola Droid Razr
DROID_X2            = Motorola Droid X2
DROIDX              = Motorola Droid X
EVO                 = HTC Evo
Galaxy_Nexus        = Samsung Galaxy Nexus
google_sdk          = Android Emulator
GT-I8160            = Samsung Galaxy Ace 2
GT-I8190N           = Samsung Galaxy S III Mini
GT-I8190            = Samsung Galaxy S III Mini
GT-I9000            = Samsung Galaxy S
GT-I9001            = Samsung Galaxy S Plus
GT-I9070            = Samsung Galaxy S Advance
GT-I9082            = Samsung Galaxy Grand
GT-I9100M           = Samsung Galaxy S II
GT-I9100P           = Samsung Galaxy S II
GT-I9100            = Samsung Galaxy S II
GT-I9100T           = Samsung Galaxy S II
GT-I9195            = Samsung Galaxy S4 Mini
GT-I9300            = Samsung Galaxy S III
GT-I9300T           = Samsung Galaxy S III
GT-I9305            = Samsung Galaxy S III
GT-I9305T           = Samsung Galaxy S III
GT-I9500            = Samsung Galaxy S4
GT-I9505            = Samsung Galaxy S4
GT-N5110            = Samsung Galaxy Note 8.0
GT-N7000            = Samsung Galaxy Note
GT-N7100            = Samsung Galaxy Note II
GT-N7105            = Samsung Galaxy Note II
GT-N8013            = Samsung Galaxy Note 10.1
GT-P3113            = Samsung Galaxy Tab 2 7.0
GT-P5113            = Samsnung Galaxy Tab 2 10.1
GT-P5210            = Samsung Galaxy Tab 3 10.1
GT-P7510            = Samsung Galaxy Tab 10.1
GT-S5360            = Samsung Galaxy Y
GT-S5570            = Samsung Galaxy Mini
GT-S5830i           = Samsung Galaxy Ace
GT-S5830            = Samsung Galaxy Ace
GT-S7562            = Samsung Galaxy S Duos
HTC6435LVW          = HTC Droid DNA
HTC6500LVW          = HTC One
HTC_Amaze_4G        =
HTC_Desire          = 
HTC_Desire_C        = 
HTC_Desire_HD_A9191 = HTC Desire HD
HTC_Desire_S        = 
HTCEVODesign4G      = HTC Evo Design 4G
HTCEVOV4G           = HTC Evo V 4G
HTC_Glacier         = 
HTC_Incredible_S    = 
HTC_One             = 
HTCONE              = HTC One
HTC_One_S           = 
HTC_One_V           = 
HTC_One_X           = 
HTC_One_X+          = 
HTC_PH39100         = HTC Vivid 4G
HTC_PN071           = HTC One
HTC_Sensation_4G    = 
HTC_Sensation_Z710e = HTC Sensation
HTC_VLE_U           = HTC One S
KFJWA               = Kindle Fire HD 8.9
KFJWI               = Kindle Fire HD 8.9
KFOT                = Kindle Fire
KFTT                = Kindle Fire HD 7
Kindle_Fire         =
LG-C800             = LG myTouch Q
LG-D800             = LG G2
LG-D801             = LG G2
LG-D802             = LG G2
LG-E739             = LG MyTouch e739
LG-E970             = LG Optimus G
LG-E980             = LG Optimus G Pro
LGL55C              = LG LGL55C
LG-LS840            = LG Viper
LG-LS970            = LG Optimus G
LG-LS980            = LG G2
LGMS769             = LG Optimus L9
LG-MS770            = LG Motion 4G
LG-MS910            = LG Esteem
LG-P509             = LG Optimus T
LG-P769             = LG Optimus L9
LG-P999             = LG G2X P999
LG-VM696            = LG Optimus Elite
LS670               = LG Optimus S
LT26i               = Sony Xperia S
MB855               = Motorola Photon 4G
